FILE                                           	SEEING	
ATLAS_0p1_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.81  	
ATLAS_0p2_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.59  	
ATLAS_0p2_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits  	0.72  	
ATLAS_0p3_m35p5_z_SDSS.V0.5.6A.swarp.cut.fits  	1.35  	
ATLAS_0p5_m27p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.89  	
ATLAS_0p5_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.82  	
ATLAS_0p8_m36p5_z_SDSS.V0.5.6A.swarp.cut.fits  	0.65  	
ATLAS_0p9_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.98  	
ATLAS_0p9_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits  	0.98  	
ATLAS_0p9_m31p5_z_SDSS.V0.5.6A.swarp.cut.fits  	0.84  	
ATLAS_10p0_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.65  	
ATLAS_10p0_m33p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_10p3_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_10p5_m27p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.88  	
ATLAS_10p6_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.52  	
ATLAS_10p6_m34p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_10p7_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.82  	
ATLAS_10p7_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits 	1.26  	
ATLAS_10p9_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_11p1_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.67  	
ATLAS_11p2_m31p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_11p2_m33p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_11p4_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_11p6_m27p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_11p7_m34p5_z_SDSS.V0.5.6A.swarp.cut.fits 	1.17  	
ATLAS_11p8_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_11p8_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.50  	
ATLAS_11p9_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits 	1.23  	
ATLAS_12p0_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_12p2_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.58  	
ATLAS_12p3_m33p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.76  	
ATLAS_12p4_m31p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.74  	
ATLAS_12p5_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_12p7_m27p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_12p9_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_12p9_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.49  	
ATLAS_12p9_m34p5_z_SDSS.V0.5.6A.swarp.cut.fits 	1.32  	
ATLAS_13p0_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_13p1_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits 	1.11  	
ATLAS_13p3_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.64  	
ATLAS_13p5_m31p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_13p5_m33p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.75  	
ATLAS_13p6_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.71  	
ATLAS_14p0_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_14p1_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_14p1_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.57  	
ATLAS_14p1_m34p5_z_SDSS.V0.5.6A.swarp.cut.fits 	1.41  	
ATLAS_14p3_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_14p4_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.56  	
ATLAS_14p7_m31p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_14p7_m33p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_14p8_m29p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_14p9_m27p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_15p1_m25p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_15p3_m30p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_15p3_m32p5_z_SDSS.V0.5.6A.swarp.cut.fits 	0.63  	
ATLAS_15p3_m34p5_z_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_15p4_m28p6_z_SDSS.V0.5.6A.swarp.cut.fits 	1.23  	
ATLAS_15p5_m26p6_z_SDSS.V0.5.6A.swarp.cut.fits 	0.59  	
